example,state,pop,density,days,cases,deaths
219,New Jersey,8936574.000,1215.200,32.000,34124.000,846.000
220,Virginia,8626207.000,218.440,29.000,2407.000,52.000
221,Washington,7797095.000,117.330,75.000,7591.000,314.000
222,Arizona,7378494.000,64.960,69.000,2019.000,52.000
223,Massachusetts,6976597.000,894.440,64.000,11736.000,216.000
224,Tennessee,6897576.000,167.270,31.000,3321.000,43.000
225,Indiana,6745354.000,188.280,30.000,3953.000,116.000
226,Missouri,6169270.000,89.750,29.000,2291.000,36.000
227,Maryland,6083116.000,626.670,31.000,3125.000,53.000
228,Wisconsin,5851754.000,108.050,60.000,2112.000,56.000
229,Colorado,5845526.000,56.400,31.000,4565.000,126.000
230,Minnesota,5700671.000,71.590,30.000,856.000,24.000
231,South Carolina,5210095.000,173.320,29.000,1917.000,40.000
232,Alabama,4908621.000,96.920,23.000,1633.000,44.000
233,Louisiana,4645184.000,107.520,27.000,12496.000,409.000
234,Kentucky,4499692.000,113.960,30.000,917.000,40.000
235,Oregon,4301089.000,44.810,37.000,999.000,26.000
236,Oklahoma,3954821.000,57.650,30.000,1159.000,42.000
237,Connecticut,3563077.000,735.870,28.000,5276.000,165.000
238,Utah,3282115.000,39.940,30.000,1428.000,8.000
239,Iowa,3179849.000,56.930,28.000,786.000,14.000
240,Nevada,3139658.000,28.600,31.000,1742.000,46.000
241,Arkansas,3038999.000,58.400,25.000,743.000,14.000
242,Puerto Rico,3032165.000,876.600,23.000,452.000,18.000
243,Mississippi,2989260.000,63.710,25.000,1455.000,35.000
244,Kansas,2910357.000,35.600,29.000,698.000,21.000
245,New Mexico,2096640.000,17.290,25.000,546.000,11.000
246,Nebraska,1952570.000,25.420,30.000,321.000,6.000
247,Idaho,1826156.000,22.100,23.000,1025.000,10.000
248,West Virginia,1778070.000,73.970,19.000,282.000,2.000
249,Hawaii,1412687.000,219.940,30.000,351.000,3.000
250,New Hampshire,1371246.000,153.160,34.000,621.000,9.000
251,Maine,1345790.000,43.630,24.000,456.000,10.000
252,Montana,1086759.000,7.470,25.000,281.000,6.000
253,Rhode Island,1056161.000,1021.430,35.000,806.000,17.000
254,Delaware,982895.000,504.310,25.000,593.000,14.000
255,South Dakota,903027.000,11.910,26.000,212.000,2.000
256,North Dakota,761723.000,11.040,25.000,186.000,3.000
257,Alaska,734002.000,1.290,24.000,171.000,5.000
258,District of Columbia,720687.000,11814.540,29.000,902.000,21.000
259,Vermont,628061.000,68.140,28.000,461.000,20.000
260,Wyoming,567025.000,5.840,25.000,187.000,0.000
